User_ID,Age_Group,Source_Channel,User_Device,Video_Completion_Rate,Watch_Duration_Mins,Is_Speed_Watching,Drop_off_Point,Registration_Status,Lead_Score,Consultation_Booked,Enrollment_Status,NPS_Score,Feedback_Keywords
U000001,35-44,Douyin (TikTok China),iOS,0.64,12.8,No,Middle,Registered,85,Yes,Not Paid,10,"Too Expensive, Not Enough Examples, Instructor Boring"
U000002,35-44,WeChat Moments (朋友圈),Android,0.73,14.5,No,Sales_Pitch,Registered,100,Yes,Paid,10,"Easy to Follow, Clear Structure"
U000003,25-34,Douyin (TikTok China),iOS,0.69,13.7,No,Middle,Registered,88,Yes,Not Paid,5,Instructor Boring
U000004,18-24,Douyin (TikTok China),iOS,0.45,9.0,No,Middle,Visitor,55,No,Not Paid,4,Instructor Boring
U000005,18-24,Douyin (TikTok China),iOS,0.86,17.3,Yes,End,Registered,94,Yes,Not Paid,6,"Sales Too Pushy, Pace Too Fast"
U000006,25-34,Douyin (TikTok China),iOS,0.35,6.9,No,Intro,Visitor,49,No,Not Paid,7,"Pace Too Fast, Sales Too Pushy"
U000007,25-34,WeChat Channels (视频号),Android,0.98,19.6,No,End,Registered,100,Yes,Paid,8,"Good Audio, Clear Structure"
U000008,35-44,Douyin (TikTok China),iOS,0.84,16.8,No,Sales_Pitch,Registered,100,Yes,Paid,10,Clear Structure
U000009,18-24,Douyin (TikTok China),Android,0.53,10.7,Yes,Middle,Visitor,55,No,Not Paid,9,"Hard to Follow, Content Too Basic, Too Expensive"
U000010,18-24,Douyin (TikTok China),iOS,0.44,8.8,No,Sales_Pitch,Visitor,54,No,Not Paid,4,"Sales Too Pushy, Too Expensive, Instructor Boring"
U000011,25-34,WeChat Moments (朋友圈),PC,0.92,18.5,No,End,Registered,100,Yes,Paid,9,"Easy to Follow, Content Useful"
U000012,25-34,Douyin (TikTok China),PC,0.5,10.0,Yes,Sales_Pitch,Visitor,54,No,Not Paid,7,"Content Too Basic, Not Enough Examples"
U000013,25-34,WeChat Moments (朋友圈),iOS,0.87,17.4,Yes,End,Registered,100,Yes,Paid,9,"Content Useful, Clear Structure"
U000014,45-54,Douyin (TikTok China),Android,0.57,11.4,No,Sales_Pitch,Registered,81,Yes,Not Paid,5,"Content Too Basic, Sales Too Pushy, Too Expensive"
U000015,35-44,WeChat Moments (朋友圈),iOS,0.61,12.3,No,Middle,Registered,72,No,Not Paid,9,Not Enough Examples
U000016,25-34,Douyin (TikTok China),Android,0.63,12.6,No,Middle,Registered,85,Yes,Not Paid,6,"Not Enough Examples, Pace Too Fast"
U000017,25-34,Douyin (TikTok China),iOS,0.55,11.0,Yes,Middle,Registered,76,Yes,Not Paid,6,Pace Too Fast
U000018,35-44,Douyin (TikTok China),iOS,0.73,14.5,No,Sales_Pitch,Registered,90,Yes,Not Paid,9,Sales Too Pushy
U000019,35-44,Douyin (TikTok China),Android,0.86,17.1,No,Sales_Pitch,Registered,97,Yes,Not Paid,6,"Hard to Follow, Audio Bad, Content Too Basic"
U000020,25-34,WeChat Channels (视频号),iOS,0.62,12.4,Yes,Middle,Registered,80,Yes,Not Paid,3,"Not Enough Examples, Pace Too Fast"
U000021,35-44,WeChat Channels (视频号),iOS,0.96,19.2,No,End,Registered,100,Yes,Paid,8,Content Useful
U000022,45-54,WeChat Moments (朋友圈),iOS,0.99,19.8,No,Sales_Pitch,Registered,100,Yes,Paid,7,"Good Instructor, Content Useful"
U000023,25-34,Douyin (TikTok China),iOS,0.83,16.6,No,End,Registered,84,No,Not Paid,5,"Too Expensive, Need More Support"
U000024,25-34,Douyin (TikTok China),PC,0.8,16.0,Yes,End,Registered,90,Yes,Not Paid,6,Not Enough Examples
U000025,25-34,Douyin (TikTok China),PC,0.44,8.8,Yes,Sales_Pitch,Registered,70,Yes,Not Paid,7,Instructor Boring
U000026,25-34,Douyin (TikTok China),iOS,0.69,13.8,Yes,Sales_Pitch,Registered,84,Yes,Not Paid,10,"Too Expensive, Content Too Basic"
U000027,25-34,WeChat Channels (视频号),iOS,0.94,18.9,No,Sales_Pitch,Registered,100,Yes,Not Paid,4,"Audio Bad, Pace Too Fast"
U000028,25-34,WeChat Moments (朋友圈),PC,0.53,10.6,No,Sales_Pitch,Registered,79,Yes,Not Paid,5,Pace Too Fast
U000029,35-44,Douyin (TikTok China),iOS,0.8,15.9,No,Sales_Pitch,Registered,100,Yes,Paid,9,Want More Examples
U000030,18-24,Douyin (TikTok China),iOS,0.69,13.8,No,Sales_Pitch,Registered,98,Yes,Paid,9,Want More Examples
U000031,18-24,WeChat Channels (视频号),PC,0.6,11.9,Yes,Middle,Registered,67,No,Not Paid,4,"Audio Bad, Hard to Follow"
U000032,35-44,WeChat Channels (视频号),PC,0.94,18.7,Yes,End,Registered,97,Yes,Not Paid,3,Hard to Follow
U000033,45-54,WeChat Channels (视频号),PC,0.47,9.3,No,Sales_Pitch,Visitor,56,No,Not Paid,4,"Pace Too Fast, Sales Too Pushy, Not Enough Examples"
U000034,35-44,Douyin (TikTok China),PC,0.62,12.4,Yes,Sales_Pitch,Registered,68,No,Not Paid,5,Content Too Basic
U000035,35-44,Douyin (TikTok China),iOS,0.64,12.8,Yes,Middle,Registered,91,Yes,Paid,8,Good Instructor
U000036,18-24,WeChat Channels (视频号),iOS,0.99,19.7,No,Sales_Pitch,Registered,100,Yes,Not Paid,6,Sales Too Pushy
U000037,35-44,Douyin (TikTok China),iOS,0.23,4.6,Yes,Intro,Registered,59,Yes,Not Paid,5,"Too Expensive, Pace Too Fast"
U000038,18-24,WeChat Channels (视频号),iOS,0.81,16.2,No,End,Registered,95,Yes,Not Paid,4,"Pace Too Fast, Sales Too Pushy"
U000039,25-34,WeChat Channels (视频号),Android,0.53,10.6,No,Sales_Pitch,Registered,67,No,Not Paid,6,Too Expensive
U000040,25-34,WeChat Channels (视频号),Android,0.9,18.0,No,Sales_Pitch,Registered,100,Yes,Paid,8,"Want More Examples, Easy to Follow"
U000041,18-24,Douyin (TikTok China),Android,0.77,15.4,No,End,Registered,100,Yes,Paid,10,Practical Tips
